Date,Open,High,Low,Close,Adj Close,Volume
01/06/2006,18.4,18.4,17.959999,18,16.045536,360800
02/06/2006,18,18.299999,17,18.129999,16.161423,694380
05/06/2006,18.02,18.200001,17.02,17.09,15.234348,395440
06/06/2006,16.799999,17.200001,16.1,16.99,15.145205,903815
07/06/2006,15,16.799999,15,16.49,14.699495,965900
08/06/2006,15.62,16.360001,14.22,15.23,13.576308,996905
09/06/2006,15.04,16,14.6,15.87,14.146817,441415
12/06/2006,16,16.6,15.18,15.22,13.567395,249855
13/06/2006,15.2,15.21,14.4,14.88,13.264312,519200
14/06/2006,14.8,15.4,13.4,14.32,12.765117,710915
15/06/2006,14.4,16.959999,13.71,15.39,13.718936,1250730
16/06/2006,14.92,17,14.92,16.02,14.280531,687310
19/06/2006,16.02,16.200001,15.5,15.75,14.039845,191245
20/06/2006,15.78,16,15.5,15.87,14.146817,117845
21/06/2006,15.8,16.4,15.78,16.09,14.342929,181560
22/06/2006,16.09,16.799999,16.09,16.52,14.726239,243050
23/06/2006,15.2,17.6,15.2,16.440001,14.654926,132570
26/06/2006,17.559999,17.559999,15.66,15.84,14.120074,165795
27/06/2006,16,16.27,15.41,15.53,13.843733,207870
28/06/2006,15.4,15.53,15.16,15.25,13.594136,113745
29/06/2006,15.6,15.86,15.3,15.59,13.89722,190205
30/06/2006,15.9,16,15.6,15.68,13.977448,182950
03/07/2006,15.99,16.200001,15.6,15.81,14.093333,210900
04/07/2006,16.08,16.17,15.7,16.02,14.280531,642050
05/07/2006,16,16.200001,16,16.110001,14.360758,191270
06/07/2006,15.7,16.92,15.7,16.76,14.94018,408055
07/07/2006,17,17.76,16.200001,16.32,14.547955,3389545
10/07/2006,16.379999,16.379999,15.8,16.02,14.280531,343280
11/07/2006,16,16.780001,15.8,15.83,14.11116,176580
12/07/2006,14.8,16,14.8,15.77,14.057674,112025
13/07/2006,15.93,15.94,15.31,15.48,13.799164,200645
14/07/2006,15.06,15.65,15.06,15.28,13.620879,148120
17/07/2006,14.6,15.59,14.6,15.05,13.415854,310885
18/07/2006,15.2,15.56,14.6,14.69,13.094941,204960
19/07/2006,15,15.3,13.96,14.06,12.533351,253510
20/07/2006,15,15,14.4,14.72,13.121685,175165
21/07/2006,15.6,15.6,14.4,15.03,13.398026,491510
24/07/2006,13.6,15.56,13.6,15.44,13.763506,459985
25/07/2006,15.8,16.360001,15.44,16.1,14.351843,1891305
26/07/2006,16.4,16.4,15.7,15.94,14.209214,343755
27/07/2006,16.18,16.200001,15.5,15.86,14.137901,708015
28/07/2006,16.200001,16.299999,15.87,16.02,14.280531,2807095
31/07/2006,16.110001,16.48,16,16.059999,14.316186,277120
01/08/2006,16.200001,16.200001,15.95,16.030001,14.289444,150425
02/08/2006,16.02,16.17,16,16.01,14.271614,122385
03/08/2006,16.200001,16.299999,15.7,15.84,14.120074,210765
04/08/2006,16.200001,16.200001,15.86,16.02,14.280531,168615
07/08/2006,16.200001,16.299999,15.6,16.030001,14.289444,157860
08/08/2006,16.1,16.219999,16,16.08,14.334014,134370
09/08/2006,15.99,18,15.81,17.15,15.287829,851660
10/08/2006,17.59,19.559999,17.59,17.98,16.027712,2300075
11/08/2006,18.209999,18.559999,17.9,17.950001,16.000971,1846995
14/08/2006,17.6,18.139999,17.6,17.73,15.804852,431010
16/08/2006,17.799999,18.09,17.25,17.459999,15.564173,502300
17/08/2006,17.6,17.74,17,17.4,15.510687,388610
18/08/2006,17.25,17.299999,17.040001,17.200001,15.332403,304140
